Hospital,Contact,Phone No,Normal Bed,Oxygen Bed,Found Useful(1hr),Notes,Comments,Up Votes,Address,Total Beds,Updated On
Rajan Babu Institute of Pulmonary Medicine and tuberculosis,N/A,7291984162,2,N/A,0,N/A, | R | Reena SharmaYesterday | Hi- | Need bed for a Covid patients suffering from breathlessness urgently. | Address is : 2-F- Sector 7- Jasola vihar- New Delhi- 110024 |  Contact number : +91 98115 93911 | Name of attendant -Reena Sharma, -,,,29-04 12:59:34
Cygnus Sonia Hospital- Nangloi,N/A,8750060177,0,N/A,0,N/A, | A | Amit SainiYesterday | Any oxygen bed available here, -,,,29-04 12:59:36
Jaipur Golden Hospital- Rohini,N/A,8929730572,103,N/A,0,N/A, | M | MonikaYesterday | Need the bed patient oxygen level is 60. Please help | S | Satya Prakash SinghYesterday | Use Aspidosperma Q mother tincture a homeopathic medicine 10 drops in some water to instantly increase oxygen level. No harm to check once | V | Vikas Narindra Yesterday | Need a bed for a patient saturation level 60. Please help | S | SarthakYesterday | Name :Anu alang | Age 48 | Diabetes hypertension | Hrct 16/25 | Spo2 below 90 | Need a bed with oxygen support. Patient in Rohini. | S | Siddharth PandeyYesterday | Urgently need an ICU bed- my uncle is admitted in Niims hospital Noida please inform us if any bed is available- his Oxygen level is 85-82. | Contact -6387714964 | S | Shammi MalikTuesday | My sister in law is very serious and we need one ICU bed. Immd. Please help thanks | R | RahulTuesday | Hello- My brother is in urgent need of bed with oxygen. Please contact 7507782239 | P | ParulTuesday | No bed available.. Called on 27th april 12pm  | V | VatsalTuesday | No admission due to insufficient oxygen @11.55am 27apr | S | ShreyaMonday | They are not taking new admission. Even if we get own oxygen .  | A | AnandiniMonday | Is there any availability of ICU for the covid patient | J | Jaspal singh rawatMonday | They are refusing to take new admi#ions said no beds available | P | PrateekMonday | 26/04 8.15 am update: They have beds available however no admissions are taking place owing to oxygen shortage incident. | J | Jyoti AroraMonday | Is there a bed available now | R | RajatSunday | No beds with oxy- 8.36pm- 25th april, -,,,29-04 12:59:40
Jeewan Mala Hospital- Rohtak Road,N/A,1147774151,20,N/A,0,N/A, | D | Deepa17m | No ICU beds available  | V | Vasudha22m | 0 beds, -,,,29-04 12:59:43
Lok Nayak Hospital,N/A,8046820570,0,N/A,0,N/A, | T | TushalaYesterday | 20 oxygen beds are available at Hotel Taj Vivanta- sector 21- Dwarka- Delhi. | They have their medical team. | Ph : 8178894808 (Deepak Jaiswal) | Self verified by me | They don't pickup calls only reply on WhatsApp. | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US | S | SwetaTuesday | Need one bed urgently. Patient is covid positive and suffering with Sarcoidosis as well. *1. Patient Name:* Deewan Rawat | *2. Age/Sex:* 39 | *3. Area/ Location/Ward:* Vaishali / Ghaziabad | *4. Full Address:* GF 2- PLOT NO. 41- MEDIA ENCLAVE- SECTOR 6- VAISHALI 201010 - GHAZIABAD - UP. | *5. Symptoms :* oxygen level 80-85- high fever - body pain and difficulty in talking | *6. Since how many days :* 8 days | *7. SPO2 Level :* 80-85 | *8. On Oxygen Cylinder :* no | *9. Searching Hospital Bed Since :* 4 days | *10. List of Hospitals Visited:* 5 | *11. Covid Test Date :* 22/4/21 | *12. Covid Result (+ve/-ve/Awaiting) :* +ve | *13. Prefer Govt/Pvt/Any Hospital ? :* any | *14. Attender Name:* sweta verma | *15. Attender Mobile No :* 9811444527 | *16. Relation to the Patient :* wife | *17. SRF ID :* 0708501298348 | *18. BU Number :* | N | Not available 13:18 27 April 21Tuesday | Not available no bed no ventilators. 1:20 pm 27 April 2021 | S | Shail Khanna Tuesday | 9867614126 | S | Shail Khanna Tuesday | Need bed urgently. Patient 02 at 72 | M | MonikaTuesday | Need bed with oxygen for my father. 9540541900. Monika | V | Vishal GoyalTuesday | Dear sir / madam- | My uncle is in need of bed with oxygen. | Please let me know. | Thank you | Vishal | 9662542176 | S | Sushmi MaulTuesday | Hii.. m a need of bed and ventilator for my mother is there any possibility of getting the same my no. 7000599088 ..olz help | S | Shashank anandTuesday | Hello i need a icu bed with ventilator- is it available?? | P | Prisha Tuesday | I need a oxygen bed very urgently please help me... | D | DipeshTuesday | Hi is any bed empty kindly connect 8013467505 | A | Adarsh Kumar MathurTuesday | I need oxygen bad in hospital for my Son age 22 year | R | Rita SinghTuesday | URGENTLY ! Need ventilator for 55 years old - oxygen level 35 | A | Aarti BehlTuesday | I need an ICU bed for my father in law. His age is 63 | N | Narendra Singh Tuesday | Lady 60 year need bed in delhi please help 9023991315 | S | SwatiTuesday | Icu bed ? | B | BhawnaTuesday | ICU bed available? | K | KhushbuTuesday | Need a bed for 65 year lady 27 april at 11:50 am | K | KhushbuTuesday | Need a bed 27 april 11:50 am | N | NitinTuesday | Need bed for 45 Years person | D | DheerajTuesday | Hi- oxygen bed need for 2 patient. Please contact 9873490314 if available. | K | KapilTuesday | If any bed available please contact at 8882672787 Kapil | P | PoonamTuesday | Need oxygen bed | S | Sonia WasonTuesday | Oxygen bed available? | Pallavi Misra Tuesday | Need a bed with oxygen for an 85 year olds Covid patients . Please help  | C | ChhaviTuesday | Need oxygen bed pls | N | Number switched off - 25th april 2021 11:53Monday | No beds available 25-04-21 23:55 | S | Shakshi sonthaliaSunday | Not available 25 April 22:25pm, -,,,29-04 12:59:47
Sardar Patel Covid Army hospital,N/A,7303885606,0,N/A,0,N/A," | P | prabha deviYesterday | Prabha Devi (Prabha Rustagi) | Female Age 58 | Oxygen Level 68-70 | Contact urgent- 9968287374 | R | Ravi guptaYesterday | Immediate bed required for a corona positive young boy of around 25 persistent cough- now blood in cough- lungs affected- may be non icu. | N | Needs urgent bed Ashish Raj Singh add chhatarpur. Pl confirm on 9582065923plz pls....Yesterday | All no are not picking ph | N | Needs urgent bed Ashish Raj Singh add chhatarpur. Pl confirm on 9582065923plz pls....Yesterday | Pl help needs oxygen bed | R | Rohit Verma Yesterday | This ""state of the art"" hospital is the most irresponsible and careless covid hospital in Delhi. They do not give any medications untill the patient reaches icu stage where too- there are only 2 so called doctors for more than 50 beds. No monitoring process- no checks- no controls- no responsibility- no Doctors- Nothing. Do Not make the mistake of going there. | U | Ujjawal Yesterday | Need ICU bed on urgent bases.. Patient age 61yrs..oxygen level below 75..any help would be really appreciated.. 8447014748 | S | SharadTuesday | Need bed urgently for both parents- with oxygen support | Oxygen level below 85 | Both Senior citizens | Very critical | Please confirm availability ? | S | SimranTuesday | Need a bed with oxygen support for a old age person. Please contact asap on 9354168049. Please urgent | K | Karan Chandhok Tuesday | Need bed urgently with oxygen support. Current oxygen level is 82-83. Pls contact on 9718804345 asap | D | Dhiraj kanojiaTuesday | Covied bed with oxygen very urgent ph. No 8527287364 | A | Any ventilator bed available?Tuesday | Need a ICU bed | Immediately | Oxygen level 77 | Critical position | Contact no.8750364587 | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US | S | SeemaTuesday | Bed with oxygen support needed urgently | B | Brijesh AggarwalTuesday | A civilian- who doesn't have any God Father will not get any treatment in Delhi.... My Covid +ve patient visited 14 hospital but no one giving even first-aid. He also suffering from kidney problem and high sugar. Pl see if any one can help.... | A | Aishwarya PillaiTuesday | You need to reach the hospital and get the patient registered. Only then they will admit them. Any sources or references inside would come handy. | M | Maj samiksha MehareTuesday | Plz guide how to go ahead for admission. Thank you  | M | Maj samiksha MehareTuesday | Jai hind  | Looking for critical care facility for 39 yr old male patient known case of HT DM with spo2 70%. Already admitted but no ventilator. Plz help  | A | Arvind NagriTuesday | My nephew aged 27 years is having continuous fever 103°f since 12 days. Oxygen level is coming down to 84. Pls. Suggest. Beds availability is the requirement . Kindly help | C | CharuTuesday | Looking for a bed for a Patient aged 36. Her oxygen level came down to 78. | Please call back on 8209263878 | A | AdityaTuesday | Looking urgently for covid bed. Patient age-55- oxygen level -85 | Pl call back on 7795425435 | P | Prabhleen kaurTuesday | Request for an urgent bed for my father. | Present oxygen is 80 | He is diabetic and bp patient. | Urgent need of hospitalization. | N | NeetikaTuesday | Hi - are the beds available? | R | RituTuesday | Need a bed urgently for H kulshrestha age around 70 with oxygen levels around 89. Phone number +919810352410 | K | KushalTuesday | Urgently need a bed for my mother in law. She is 56- and her oxygen has fallen to lower 80 levels. She has comorbidities including  High BP and Diabetes. Doctors have told to get admitted immediately Please inform if there is any availability - + 91 97174 83505  | H | Himanshu Tuesday | Need urgent availability of bed for patient Renu chauhan. Contact - himanshu - 9881920342. please help required. | H | Himanshu Tuesday | Need urgent availability of bed for patient Renu chauhan. Contact - himanshu - 9881920342. please help required. | A | Amit kr Sharma age-40.Argently need oxizen bed- Contact no 9891193231Tuesday | Patient name-Amit Kumar Sharma | Age 40 | Urgently need oxygen bed | G | Gaurav srivastavaTuesday | Need bed on ver urgent basis as mother oxygen level continously going down. In past two hours came down till 77 | C | COVID PNeumonia CT severity 22/25 Hi my brother name is sheel kumar he is very serious and youngTuesday | COVID Pneumonia serious condition CT severity 22/25 Hi my brother name is sheel kumar he is very serious and young | He NEED BED with Oxygen | Please 8860898901 | H | Harpreet Tuesday | Need ventilator urgently | Name - Narinder kaur | Age -70 | Oxygen 60 | Contact - Harmeet 9650997299 | R | RahulTuesday | Hello- My brother is in urgent need of bed with oxygen. Please contact 7507782239 | N | Need bed for my mother pls help.... Pls contact 9873178447Tuesday | Pls help | R | RajendraTuesday | What ever phone no mentioned it's not working and not pick any one | R | RajendraTuesday | Please share the contents no asap | B | Brijesh AggarwalTuesday | Patients Name : Anil Gupta 74 year | Oxygen level 60- creatine 3.5- Sugar fasting 177....... urgent need of hospitalization | V | V K AGGARWAL Tuesday | Request for a bed with Oxygen facilities. Present Oxygen level is 80 | She is diabetic too | Sushma Aggarwal | F/61 | V | vijay KoulTuesday | Request for a oxygen bed for patient with oxygen level 86 | J | Jyoti SindhuTuesday | Hi need bed for my father with oxygen 65-70. Please help | A | Anil jain oxygen meter 85 please arrange bedTuesday | Need a bed for oxygen recovery 9868444824 | A | AastikTuesday | When I called- they told they’re admitting people with above 85 oxygen level  | K | KunikTuesday | Not a single number works..! How are these people helping us?? | A | AlokTuesday | Need contact numbers of the DRDO centre | A | AvantikaTuesday | For those of you if you are not having any beds in Delhi- gurgaon- faridabad ...beds r there in nalhar medical college in NUH in mewat ..around 600 beds. It's a tertiary care covid hospital. In addition two advance lifesaving ambulance and other facilities ..plus own covid sampling lab ...further it's just 20 km from sohna. Pls do circulate. So that precious life can be saved | 01267-282007 please call at this number if you need help. If any issue. | C | ChhaviTuesday | Need oxygen bed pls | P | PunyaTuesday | Need a bed with oxygen urgently  | K | KK LakhaniTuesday | Waste of critical time in hours of need | K | KK LakhaniTuesday | The numbers don't work. There are so many resources that are wasting people time. Let's ensure that these work. | D | DC ChetanTuesday | We supply Oxygen Concentrator- BiPAP Machine- Transport Ventilator- ICU Ventilator for Homecare and Hospital use. Please contact Mr DC Chetan on 9663383550 if you need any assistance. Warm regards- www.benakahealthcare.com | P | Preeti Tuesday | I need ICU bed- oxygen cylnder for my mother on a urgent basis- please contact us on this number 9999433197/ 8448114449. | B | BinduTuesday | It was announced there by a designated Doctor that admission will be done following mandatory procedure by contacting Survillance Officer appointed as per the published list area wise. We need to send whtsapp msg to these Officers asking them to send the format for feeding the details. | A format will be sent which we hv to fill and sent it back | The team will then visit the patient | And decide next course of action of admission- if needed | NOTE : we did this yesterday afternoon but till now no one contacted us | and we are clueless- my patient needs hospitalization country is collapsed oh God | M | Manish Kapur1Tuesday | Need help for my mother- spo level dipping below 70 | R | RahulTuesday | Can anyone confirm if they have bed right now? | P | PriyankaMonday | Please provide valid no. | A | AnkitMonday | Number not valid 7303885606 | P | Prishita malikMonday | 011-26655547 | O11-26655548 | 011-26655549 | 011-26655949 | 011-26655959 | 011-26655969 | Dso(south) 8275467266 | (Dr .Rashmi) 7am-3pm | Dr.anjala -3pm -10 pm | 9540757688 | Dr.saurabh - 10 pm - 7 am | 7835940399 | Try these numbers.. Please | S | Shallu Monday | No response useless | V | Vinod Kumar SinghMonday | Incoming not available on this number @4:40 pm on 26th Apr | A | A.kumarMonday | Mob.no.given 7303885606 is useless.Incoming call facility is not available on this no. | Veryy funny. | Rajive Monday | You may try the following numbers :- | 011-26655959- 011-26655969 | Also- you may speak to the District Surveillance Officer- Dr Kuldeep Singh at M 9968679756 | H | Hushnee Monday | Number not reachable | S | Surbhi Bajaj Monday | Number temporarily out of service  | M | Manasa RMonday | The number is out of service. Any other numbers? | B | Balveer Monday | Number not in service | A | Aishwarya PillaiMonday | Hi are these number valid? I am not able to reach. | G | Gupil Monday | Number not in service | S | SandeepMonday | No one is picking up the phone.... | N | Nandresh NigamMonday | ??? ???? ?? ??????? ???? ??? ????? ? ??? ?? ?? ?? ??? ??????? ??? ?? ???? ??? ???? ??? | While calling a recorded message is received that this number is temporarily out of order. | K | KamaldeepSunday | The number is switched off | D | DarshanSunday | No beds available @ 2200 25th April | S | SudhaSunday | Incoming is not available tried at 25th April at 10pm | A | AnushkaSunday | Switched off | V | VaneetaSunday | Number temporarily out of service .. 25th Apr- 7:43pm", -,,,29-04 12:59:51
Max East/West Block,N/A,1126515050,44,N/A,0,N/A, | A | Akshata1h | My patient Name is KAMLESH | SHE IS 75 | HER SPO 2 IS 72 | WE NEED A VENTILATOR | ITS URGET | S | SarthakYesterday | Name :Anu alang | Age 48 | Diabetes hypertension | Hrct 16/25 | Spo2 below 90 | Need a bed with oxygen support. Patient in Rohini. | A | Avinash Yesterday | I am in need of a bed with ventilator. I have oxygen. Spo2 is 60.  | Can someone tell me if you have availability?  | S | Sumit verma Tuesday | Need bed for covid patient and we have oxygen concentrator. please give admission | V | VatsalTuesday | Not available @11.58 27 apr | A | AashiTuesday | Oxygen bed required | M | MansiTuesday | Angel - did u got bed for your father anywhere | A | Angel AbrolTuesday | No one picking phone. My father oxy level below 85. Pls assistance need bed for him | R | Rushil SarnaMonday | Need to add 0 before dialing. However- they are not answering. | B | Bhorika Monday | Number not exist | P | Purnima Monday | Invalid number at 11.39. 26 april | R | RitikaMonday | Not answering | R | RaviMonday | No answer | S | Sunil UniyalMonday | Kindly put 0 before 11 for correct dialing. | Tried at 0044AM 26 Apr 21- but no response. | S | SidMonday | Number doesn't exist, -,,,29-04 12:59:55
Fortis Escorts Heart Institute- Okhla,N/A,1147135000,0,N/A,0,N/A,, -,,,29-04 12:59:58
Indian spinal injury centre-Vasant Kunj,N/A,1142255384,12,N/A,0,N/A, | Anosh Mehta Tuesday | No CoVid facilities, -,,,29-04 13:00:01
Kalra Hospital- Dwarka,N/A,1125355545,12,N/A,0,N/A, | A | Azad singh6h | Need icu/ ventilator bed...very urgent..please help 8800779539 | N | Need ventilator urgently.. please helpYesterday | Urgently need ventilator.. pls help | S | Saswata halderYesterday | Need immediate hospitalisation with oxygen cylinder. | Patient details : | Patient Name: Sarbari Guha | Patient Age:61 | Female | Address: Shouvik Guha | Flat# 5- 2nd floor- Property No 591 | Saidulajab | NEW DELHI- DELHI 110030 | India | Phone number: ?9654910170? | Attendant Name: Shouvik Guha | Attendant phone no: 9654910170- 8100657465 | Issue: Civic+ | Oxy -82 | Comorbities:Bp | Urgent Hospitalization with oxygen support. | K | Komal Sharma Yesterday | Urgent requirement of icu bed pateints saturation via 80at room temperature . Please help.call at 8882252383 | G | Gaurav singhTuesday | Need a oxygen Bed In delhi NCR | V | Vidula ChopraTuesday | Call not going through 27/4- 2:21PM | S | ShaileshMonday | ICU bed not available for covid Patients at 14:05 PM | U | UmeshMonday | They don't have ICU bed facility/availability. 11.25am- 26 Apr | AnushkaSunday | ICU beds available only for non covid patients — 21:05- 25/04, -,,,29-04 13:00:05
